source,organization,title,description
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","In the event of mid-season drought, which is characterized by a long dry spell with two consecutive rainless weeks, important contingency measures must be implemented for rice crops in mid-land sandy loam soils. Key crop management practices include life-saving irrigation using harvested water and spraying urea at 1-2%. During drought conditions in August-September, there's a high risk of foliar blast and brown spot diseases in rice. To mitigate this, it is advised to spray Tricyclazole (Tilt) at 6 g/10 liters or Casugamycin at 2 ml/liter, twice at 10-day intervals. Soil nutrient and moisture conservation measures are also critical, with recommended foliar sprays of KCI or ZnSO4 at 2% and 2% KNO3 or 2% urea solution. Additionally, 1% water-soluble fertilizers like 19-19-19, 20-20-20, and 21-21-21 can be used. Life-saving irrigation can further be achieved through structures like dovas, wells, ponds, check dams, and bora bandh."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,B. Extreme Weather Events,"Hail storm contingency measures: Seedling/nursery stage: Vegetable nursery should be raised in poly house or make proper arrangement of low height poly tunnels in open area or cover with plastic sheet or thatching. Vegetative stage: In vegetables, remove damaged parts immediately and apply insecticide followed by fungicide as prophylactic measures. Follow fertilization through foliar as well as broadcasting. Reproductive stage: In vegetables, remove damaged parts immediately and apply insecticide followed by fungicide as prophylactic measures. Follow fertilization through foliar as well as broadcasting for proper fruiting. At harvest: Safely sell in the market after grading for immediate returns. Heat Wave contingency measures for Wheat, Chickpea/Pea: Seedling/nursery stage: Sow rabi crops between 2nd week of October to 2nd week of November for protection from heat and cold waves during various growth stages. Life-saving irrigation."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,B. Extreme Weather Events,"Heat Wave contingency measures for Wheat, Chickpea/Pea continued: Vegetative stage: Timely sown crops usually do not face heat stress. Provide life-saving irrigation and water spray during evening time at 2-3 days intervals for late sown crops. Handle termite attacks with Chlorpyriphos sprays. High soil and ambient temperature favor dry root rot in Chickpea; use fungicide sprays. Reproductive stage: Provide frequent protective irrigation to minimize terminal heat stress in March and April. Manage termite attacks as per vegetative stage. Chickpea-specific actions for high temperature-induced diseases include spraying captan or thiram. At harvest: Frequently irrigate to counter evaporative losses."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,B. Extreme Weather Events,"Cold wave contingency measures: Wheat, Mustard, Linseed, Chickpea, Pea: Seedling/nursery stage: Cold environment favors more tillers in wheat and more branching in mustard, chickpea, lentil, and linseed for high yield prospects, but detrimental for potato, tomato, brinjal, pea, creepers, and fruits. Provide irrigation and balanced fertilizer application including foliar spray of nutrients. Vegetative stage: Light irrigation and mulching with crop residues or weeds, and fertilizer application. Reproductive stage: Provide irrigation and fertilizer application. Mustard-specific actions include spraying Rogor or Monocrotophos for aphid control. Termite attacks, dry root rot, and other crop-specific diseases require targeted chemical treatments."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,B. Extreme Weather Events,"Frost contingency measures: Wheat: Seedling/nursery stage: N/A. Vegetative stage: Light irrigation, mulching with crop residues or weeds. Pigeonpea: Exposure to smoke by burning waste material at night, light sprinkler irrigation. Tomato, Potato, and Horticultural crops (fruit): Seedling/nursery stage: Create smoke around the field using waste materials or used mobile oil in specific directions. Use polythene or bamboo hoogli for small horticultural crops during morning hours. In perennial horticultural crops, frequent irrigation followed by mulching, thatching, creating smoke screens, and lighting of fire should be practiced. Reproductive stage: Immediate harvesting and disposal. At harvest: Harvest in dry weather."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","ICAR suggests contingency measures for a delayed monsoon by 2 weeks affecting early season drought. In upland red sandy loam soils, recommended crops include Pigeonpea, Hybrid Maize, Blackgram, Greengram, and Soybean. Suggested intercrop options are Pigeonpea + Lady’s finger (1:2), Pigeonpea + Maize (1:1), Pigeonpea + Vegetable (1:2), Maize + Greengram (1:2), Maize + Cowpea (1:2). For horticulture, recommended vegetables are Tomato, Brinjal, Cucurbits, Chili, and Sweet Potato. Specific varieties for each crop are also detailed. Agronomic measures include deep ploughing, In-situ rainwater conservation, line sowing in upland rice areas, zero tillage practices, specific seed rates, and weed control using suitable chemicals. Soil amendments suggested are well-rotted FYM, phosphogypsum, lime or dolomite, and various fertilizers."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","For mango-based orchards, ICAR recommends intercropping Mango with crops like Papaya, Blackgram, and Chickpea. Varieties include Amrapali, Mallika, and Sunder Langra. Recommended spacing is 5m X 5m, with alternate intercrop combinations based on variety. For guava-based orchards, the varieties are Arka Mridula, Pant Prabhat, and Allahabad Safeda, with a spacing of 5m X 5m. Intercrops include Papaya and Blackgram, among others. Ber-based orchard varieties include Banarsi, Karakka, Gola, and Apple ber with a spacing of 5m X 5m. Intercrops for Beal-based orchards are Custard apple with Blackgram or Sesame, adhering to spacing of 8m X 8m. Additional guidance includes avoiding field crops over one meter in height, managing aphid infestations in citrus orchards, and utilizing cassava and moringa for additional uses."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"Title: CONTINGENCY PLAN FOR RABI
Organization: ICAR
Category: Crop Management and Agronomy
Sub category: Rainfed Crop Agronomy
Information About: Rice
Labels: Sub Title: 2 (B) Less than optimum moisture i.e., 25% less than normal, which can happen due to insufficient rainfall during September/October months. Deficit of 20-40% rainfall

Description:
> Cropping system- Rice- Chickpea, Rice-Mustard, Rice-Vegetables, Rice-Linseed, Rice-Barley
> Crop name - Rainfed Mustard, Linseed, lentil, Barley
> Sowing Window- Mustard- 3rd week of October- 1st week of November, Linseed - 2nd -4th week of November- Lentil- 4th week October -2nd week of November, Barley-3rd week of October- 2nd week of November (Rainfed) 1st week of November- 2nd week of December"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"> Variety- Mustard- Shivani, Pusa Mahak, Pusa Bold; Linseed- (rainfed)-Skekhar, Subra, Sweta, T397, (Irrigated)- Garima, Skekhar, Subra, T 397; Lentil - HUL 57,WBL 77, KLS 218; Barley - Lakhan (Rainfed), Jyoti (Irrigated)
> Agronomic management practices
> Follow deep summer ploughing
> Seed treatment with Azotobacter and Azosprillium and also soil application in wheat
> Follow seed treatment with fungicide-insecticide-rhizobium in pulses
> Sowing in defined window for better establishment
> Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better crop stand (Plant population)
> Irrigate only at critical stages
> Pre emergence weedicide application
> Soil application of Sulphur (20 kg/ha) and boron (1kg/ha) in oilseed, pulses and vegetables
> Foliar spray of Urea (2%) at flower initiation and pod formation stage in oilseed and pulses
> Follow RDF, INM and IPM
> Follow hoeing after hand weeding
> For Water use efficiency use antitranspirant, reflectant and mulches
> Regular monitoring of field for disease and insect attack
> Use pheromone trap and attractant"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"Mustard - Seed treatment and proper seed rate for optimum crop stand. Thinning, weeding at 30-35 DAS followed by irrigation. Follow RDF, INM and IPM. Irrigate at three critical stages 30-35 DAS, before flowering and capsule/pod formation. Apply second dose of Urea before flowering. Management for painted bug, aphid and Powdery mildew
Linseed - Follow seed treatment. Irrigate only at critical stages. Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better establishment (Plant population). Soil as well as seed treatment for the management of disease and termite attack. Pre and post emergence weedicide application. One hand weeding followed by one hoeing for management of weeds between 20 and 45 DAS. Irrigate at critical stages (before flowering and at pod formation). For dual purpose (seed and flax) increase N fertilizer dose by 25 percent. Follow RDF, INM and IPM. Follow deep summer ploughing. Proper water management. Pre emergence weedicide application. Follow RDF, INM and IPM. Precaution for pod borer, bud fly insect and powdery mildew disease management
Lentil - Foliar spray of Sulphur and Boron is necessary. Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better establishment (Plant population). Follow deep summer ploughing. Proper water management. Follow seed treatment with Rhizobium culture and PSB. Irrigate only at critical stages. Pre emergence weedicide application. Follow RDF, INM and IPM also drench FYM treated with Trichoderma and Foliar spray. Management for wilt disease. One hand weeding followed by two hoeing for management of weeds (HW-20-25 DAS and Hoeing 30-32 and 40-42 DAS
Barley- Proper seed rate and spacing for better crop standard. Pre emergence weedicide application. Irrigate at critical stages (two irrigation at 30-35 DAS and 55-60 DAS). Two weeding in between 25-45 DAS. Follow RDF, INM and IPM. Take care of Covered and loose Smut disease and manage for termite attack"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset),"Organization: ICAR

Labels: Major Farming Situation/Land Situation: MID LAND Sandy loam soils, Agriculture, Crop Management and Soil Conservation, Rice

Title: Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset)

Description:
> Normal Crop/cropping system: Rice
> Suggested Contingency measures a) Change management: Don 2
> If possible, go for staggered raising of nursery in rice crop
> If possible, raise community nursery of rice at a reliable water source to save time for further delay.
> In case, if rice population is less than 40-50 percent, gap filled by retransplanting the rice crop and for more than 50 percent mortality use fresh seeding for fresh transplanting.
> Follow gap filling by removing seedlings from profuse tillers to have a uniform distribution of same aged plants
> For termite and disease management in nursery spray Indofil M 45 and Chlorpyriphos @ 0.2 percent
> Life saving irrigation
> DSR on receipt of rain by using Paddy drum seeder or High yielding varieties- follow transplanting while, Improved varieties - follow DSR
> In case of DSR- Use sprouted seeds in plastic drum seeder with increased seed rate by 20-25 percent for good crop stand
> Late transplanted rice during early season drought results in the occurrence of sheath rot and grain discoloration diseases.
> Follow pre emergence and post emergence weedicide to disturb/check the crop-weed competition for nutrient
"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset),"> Provide life saving and protective irrigation to over aged seedling in nursery through dovas (harvested rain water). Also, take care of blast disease in nursery and avoid using urea in nursery.
> Strengthen the bunds to check the drainage holes and seepage loss in transplanted and direct sown medium land rice regularly
> Follow raised bed broad furrow or Ridge and furrow method for Maize/ Pigeonpea/ Lady's finger/ Blackgram/ Soybean
> Adopt surface mulching with crop residue or tree lopping of Glyricidia wherever possible. If farm waste is not available, use blade to form a thin layer of soil mulch to avoid cracks
> Life saving irrigation
> In case of transplanting of over aged seedling ( 35-45 days ), increase number of seedling per hill (5-6 seedling/hill)
> Soil nutrient & moisture conservation measures
> Dry seeding of rice with application of pre and post emergence weedicide in over aged seedlings (>25 DOS)
> Split application of Urea fertilizer
> Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21- 21 to supplement nutrition during dry spells"
